sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
f,1987,3,2,2,4,9,11,,-0.53,-0.63,0,r
f,1980,1,1,10,3,8,11,1,-0.08,-0.48,0,r
f,1972,2,3,3,3,1,10,2,-0.15,-0.15,,r
f,1964,3,3,16,5,1,2,1,0.05,-0.55,,r
m,1988,1,2,10,1,8,2,1,0.3,-0.78,32,r
m,1979,1,1,11,7,8,2,2,0.18,-0.63,,r
m,,3,2,13,1,1,5,1,0.05,-0.63,,r
m,1971,1,1,6,2,1,11,3,0,-0.35,0,r
m,1978,1,1,11,6,8,11,1,0.05,-0.58,0,r
m,1987,3,2,14,4,8,11,2,0.15,-0.95,0,r
m,,1,2,7,6,8,11,1,-0.1,-0.3,32,r
m,1983,1,1,6,6,8,1,3,0.18,-0.78,74,r
m,1991,3,1,8,5,8,4,3,0.1,-0.5,46,r
m,1978,1,3,6,6,8,11,2,-0.63,-0.08,,r
m,1990,1,1,4,3,8,11,3,-0.15,-0.88,0,r
f,,1,1,7,,1,11,3,-0.25,-0.15,,r
f,1983,1,1,13,6,8,1,4,-0.08,-0.53,74,r
m,1981,1,1,16,7,1,6,3,-0.03,-0.05,12,r
m,,1,2,6,7,,2,2,0.88,-0.2,0,r
m,1985,1,1,6,5,8,2,3,-0.35,0.05,23,r
m,1990,1,2,1,1,1,2,2,-0.13,-0.28,53,r
m,1977,2,1,7,7,6,11,1,0.38,-0.45,0,r
m,1977,1,1,6,6,8,11,2,0.03,-0.1,,r
m,1986,3,2,4,3,8,6,1,-0.28,-0.5,,r
m,,3,2,8,4,8,11,2,0.25,-1,0,r
m,1986,1,2,10,3,8,11,1,-0.55,-0.28,,r
m,1972,1,3,6,7,8,6,1,0.18,-0.83,,r
m,1992,1,2,6,6,8,2,2,0.18,-0.28,63,r
m,1968,1,1,6,3,8,1,1,-0.13,-0.63,,r
m,1982,1,1,8,6,8,11,3,-0.5,-0.3,,r
m,1973,1,1,7,7,1,11,1,-0.38,-0.1,0,r
